accession,label,offset,ar
0001193125-19-240440,CLINICAL,6,-0.03955433462640122
0001193125-19-240440,CLINICAL,7,-0.013974624857068515
0001193125-19-240440,CLINICAL,8,-0.01370069369367874
0001193125-19-240440,CLINICAL,9,-0.015545116536253687
0001193125-19-240440,CLINICAL,10,0.019376180668022918
0001193125-19-248388,OTHER,-10,-0.04053994390356789
0001193125-19-248388,OTHER,-9,-0.034558889876790524
0001193125-19-248388,OTHER,-8,0.6276564685422814
0001193125-19-248388,OTHER,-7,0.057679353393114544
0001193125-19-248388,OTHER,-6,-0.012853764186264934
0001193125-19-248388,OTHER,-5,-0.06456089322784468
0001193125-19-248388,OTHER,-4,0.03094364242622939
0001193125-19-248388,OTHER,-3,0.08999051165884668
0001193125-19-248388,OTHER,-2,-0.040505203901320654
0001193125-19-248388,OTHER,-1,-0.01520112842670265
0001193125-19-248388,OTHER,0,-0.015021957266590396
0001193125-19-248388,OTHER,1,-0.0175303801490009
0001193125-19-248388,OTHER,2,0.018030931452398775
0001193125-19-248388,OTHER,3,-0.059830924067052614
0001193125-19-248388,OTHER,4,-0.0007911763986013162
0001193125-19-248388,OTHER,5,-0.04400911585768544
0001193125-19-248388,OTHER,6,-0.012423347582822932
0001193125-19-248388,OTHER,7,-0.03386068748508727
0001193125-19-248388,OTHER,8,0.02446289578122678
0001193125-19-248388,OTHER,9,0.061939587202902845
0001193125-19-248388,OTHER,10,0.00507432100110124
0001564590-19-038793,EARNINGS,-10,-0.006602338153657003
0001564590-19-038793,EARNINGS,-9,0.0021453814389519564
0001564590-19-038793,EARNINGS,-8,0.06773172087264993
0001564590-19-038793,EARNINGS,-7,-0.015730398699523408
0001564590-19-038793,EARNINGS,-6,-0.02501255892293524
0001564590-19-038793,EARNINGS,-5,-0.022805996861456502
0001564590-19-038793,EARNINGS,-4,0.0005339273362652379
0001564590-19-038793,EARNINGS,-3,0.0008815761597700342
0001564590-19-038793,EARNINGS,-2,-0.0009019262954053572
0001564590-19-038793,EARNINGS,-1,0.009900733035059749
0001564590-19-038793,EARNINGS,0,-0.014661510387679447
0001564590-19-038793,EARNINGS,1,-0.004610926695491478
0001564590-19-038793,EARNINGS,2,-0.023076326818980572
0001564590-19-038793,EARNINGS,3,-0.021792062305589544
