accession,ticker,name,label,t0,alpha,beta,resid_sd,n_est,ar0,car_leak,car_leak_n,car_event,car_event_n,car_drift,car_drift_n,car_aux,car_aux_n
0001193125-21-075243,IBRX,"ImmunityBio, Inc.",OTHER,2021-03-10,0.00912509556337522,1.1607467877240776,0.0851620365056804,220,0.17478572343191992,-0.1815799955312272,9,0.033219641045268755,2,-0.18022027236039362,9,0.1563905182469598,3
0001193125-21-084244,IBRX,"ImmunityBio, Inc.",PRESENTATION,2021-03-18,0.009807662184166973,1.1075097076203015,0.08458727734916856,220,-0.03792194862662183,0.11095132922801475,9,-0.011629270224754209,2,-0.5454120482056111,9,0.08538305761913562,3
0001193125-21-182190,IBRX,"ImmunityBio, Inc.",PRESENTATION,2021-06-04,0.007460232819802143,0.9684020133265429,0.08466039356045894,220,-0.029282250660516616,0.005483625702710989,9,-0.15630538596873386,2,-0.1893798063130692,9,-0.1423861045608272,3
0001193125-21-190551,IBRX,"ImmunityBio, Inc.",REGULATORY,2021-06-15,0.005046201501147582,1.2615895377717008,0.08296436549781484,220,-0.03555194477925482,-0.1936511173552459,9,-0.044634330445971024,2,-0.0436351885244414,9,-0.06962173419181689,3
0001193125-21-361818,IBRX,"ImmunityBio, Inc.",OTHER,2021-12-20,-0.002547475340667066,1.3232269176476974,0.05918891744524008,220,0.007443100521287528,-0.03287249837604814,9,-0.055175218451921894,2,0.14222119843877226,9,0.11489471767401659,3
0001193125-22-007333,IBRX,"ImmunityBio, Inc.",OTHER,2022-01-12,-0.00451052967844918,1.4293794207157529,0.05492142121391704,220,-0.024045256930921778,0.10134152793049404,9,-0.012497856002496172,2,-0.0534016083441649,9,0.034368174279422764,3
0001193125-22-042967,IBRX,"ImmunityBio, Inc.",OTHER,2022-02-15,-0.007510960437672191,1.0013544761060462,0.056663882017273355,220,0.2139710082079013,0.12395347104856314,9,0.28437112332500114,2,-0.049269579052245424,9,0.2599209059952221,3
0001193125-22-285314,IBRX,"ImmunityBio, Inc.",PRESENTATION,2022-11-15,0.003230764376292568,2.376712008352629,0.060889350398435356,220,-0.03976202048883956,-0.01665375882778207,9,-0.08601852652632924,2,-0.12658551718583927,9,-0.01594911948477988,3
0001326110-22-000076,IBRX,"ImmunityBio, Inc.",OTHER,2022-12-05,0.003755953520950004,2.495352596358139,0.056642509080460465,220,-0.013441049073263413,-0.10858059632078972,9,-0.01688045709162469,2,0.06601664888276133,9,0.09275925939074005,3
0001326110-23-000014,IBRX,"ImmunityBio, Inc.",OTHER,2023-02-13,0.0023634831047744625,2.5346430946133975,0.05351512475520422,220,-0.052896294969290394,-0.036727042846165806,9,-0.06205120765896633,2,-0.33344672804869674,9,-0.09317257725156425,3
0001193125-23-039399,IBRX,"ImmunityBio, Inc.",EARNINGS,2023-02-15,0.0018482598987325123,2.480443240849894,0.05211866292111003,220,-0.0740742960300276,-0.0541596375819291,9,-0.11891248749360038,2,-0.40094328705844506,9,-0.12757711290281443,3
0001326110-23-000023,IBRX,"ImmunityBio, Inc.",REGULATORY,2023-03-20,0.001008991727024685,2.475049068726519,0.05168379863362073,220,-0.06736124146227737,-0.28496990639214725,9,0.2620942928417114,2,-0.08561096719375974,9,0.2900250647363731,3
0001326110-23-000063,IBRX,"ImmunityBio, Inc.",REGULATORY,2023-05-11,-0.0005686803124059486,2.388284459825062,0.05718480887064126,220,-0.546713571793342,1.048376150432022,9,-0.7258112975855895,2,0.11638409786640842,9,-0.6857257519842885,3
0001193125-23-190491,IBRX,"ImmunityBio, Inc.",OTHER,2023-07-21,0.0014057008546376698,2.597271045517841,0.08342918871325283,220,-0.029087416847961588,0.06923094326385479,9,-0.09903528113419521,2,-0.23400814987593155,9,-0.15095109454347694,3
0001326110-23-000102,IBRX,"ImmunityBio, Inc.",OTHER,2023-08-16,0.0009970788567217948,2.6414426302047946,0.08286191296046738,220,0.018386244301722483,-0.04081146573648036,9,-0.02370748722508355,2,-0.19982673382160063,9,0.06552462206846382,3
0001326110-23-000112,IBRX,"ImmunityBio, Inc.",OTHER,2023-09-01,0.0004729832445343977,2.617634001306387,0.08297467780367437,220,-0.0550451496100363,-0.19431174811686058,9,-0.08995653512673506,2,0.1846852308348742,9,-0.11084119334055831,3
0001326110-23-000121,IBRX,"ImmunityBio, Inc.",OTHER,2023-09-11,-0.0007475334362215477,2.659683820088186,0.08299181807543472,220,0.1770536176996142,-0.2340776649026682,9,0.289794071319991,2,0.042332373710174565,9,0.27126919179219894,3
0001326110-24-000003,IBRX,"ImmunityBio, Inc.",OTHER,2024-01-02,0.0011510011698255135,3.015350952678725,0.09184963547699271,220,0.05954812146272456,0.2148203790263224,9,-0.015259695746663693,2,-0.28294803618111825,9,-0.04414963803714918,3
0001326110-24-000040,IBRX,"ImmunityBio, Inc.",REGULATORY,2024-04-23,0.0052863716620637985,2.888155971223118,0.09168779828315551,220,0.07177671804313093,-0.04855528697128392,9,-0.05417896746545614,2,0.5459495068587488,9,-0.14868096950570503,3
0001326110-24-000109,IBRX,"ImmunityBio, Inc.",EARNINGS,2024-11-12,-0.00016195090702207562,2.1734926148012907,0.0667036044165194,220,-0.08482957242262888,-0.15600719550766948,9,-0.10996583825246974,2,0.06354326863770228,9,-0.13341857461612813,3
0001326110-24-000115,IBRX,"ImmunityBio, Inc.",CLINICAL,2024-11-19,-0.0007846704326785398,2.1486050354874484,0.06624969376498563,220,0.06079515889044234,-0.18934186423740945,9,-0.027933434947226603,2,-0.0774081398033448,9,0.07986054583925913,3
0001193125-24-274871,IBRX,"ImmunityBio, Inc.",OTHER,2024-12-11,0.0023512436823369615,2.1651170288892865,0.06944473739102623,220,-0.3402098508085381,-0.08656830750638636,9,-0.3663254808927221,2,-0.13179253091602192,9,-0.3952785716555759,3
0001326110-25-000031,IBRX,"ImmunityBio, Inc.",EARNINGS,2025-03-03,-0.0023613340177722976,1.8973757802144187,0.06655197509069298,220,-0.09813530545490529,-0.022153443614087567,9,-0.013665833222626073,2,0.016178971488341822,9,0.10943549886074527,3
0001193125-25-075102,IBRX,"ImmunityBio, Inc.",OTHER,2025-04-08,-0.001878947238901895,1.861461411163952,0.06953838068085227,220,-0.0792595389638068,0.2664495731523531,9,-0.19849001926689114,2,0.1101906129470707,9,-0.23216479419370178,3
0001326110-25-000044,IBRX,"ImmunityBio, Inc.",EARNINGS,2025-04-15,-0.0018362764218044652,2.047803137049223,0.06979089028197519,220,-0.030490346161954892,-0.026654850512031092,9,-0.09104899410149823,2,-0.07845796460003798,9,-0.010220186454058165,3
