cik,ticker,name,sic,sic_desc,city,state,zip
0001095146,ABIT,Athena Bitcoin Global,6199,Finance Services,MIAMI,FL,33136
0001101026,ZIVO,"Zivo Bioscience, Inc.",2836,"Biological Products, (No Diagnostic Substances)",BLOOMFIELD HILLS,MI,48304
0000086115,SFES,SAFEGUARD SCIENTIFICS INC,6799,"Investors, NEC",RADNOR,PA,19087
0001497649,GSTX,Graphene & Solar Technologies Ltd,1000,Metal Mining,PHOENIX,AZ,85028
0001568628,BQST,Bioquest Corp,2834,Pharmaceutical Preparations,NEWPORT BEACH,CA,92660
0001528188,WNFT,Worldwide NFT Inc.,7374,Services-Computer Processing & Data Preparation,HENDERSON,NV,89052
0001815974,ANEB,"Anebulo Pharmaceuticals, Inc.",2834,Pharmaceutical Preparations,LAKEWAY,TX,78734
0000890066,GLBZ,GLEN BURNIE BANCORP,6022,State Commercial Banks,GLEN BURNIE,MD,21061
0001376986,TVE,Tennessee Valley Authority,4911,Electric Services,KNOXVILLE,TN,37902
0001001601,MGTI,"MGT CAPITAL INVESTMENTS, INC.",6199,Finance Services,MELBOURNE,FL,32935
0000942126,TAIT,TAITRON COMPONENTS INC,5065,"Wholesale-Electronic Parts & Equipment, NEC",VALENCIA,CA,91355
0001400271,CUBT,Curative Biotechnology Inc,2836,"Biological Products, (No Diagnostic Substances)",BOCA RATON,FL,33431
0001673504,AGLY,Atlantis Glory Inc.,8742,Services-Management Consulting Services,HONG KONG,F4,00000
0001133798,TXRP,"TX Rail Products, Inc.",5084,Wholesale-Industrial Machinery & Equipment,ASHLAND,KY,41105
0001391426,CLNV,Clean Vision Corp,2860,Industrial Organic Chemicals,MANHATTAN BEACH,CA,90266
0001350156,PAXH,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,5700,"Retail-Home Furniture, Furnishings & Equipment Stores",DUNEDIN,FL,34697
0001816554,EVTK,EVENTIKO INC.,7990,Services-Miscellaneous Amusement & Recreation,ATLANTA,GA,30318
0001490054,APHD,"VERDE BIO HOLDINGS, INC.",1311,Crude Petroleum & Natural Gas,FRISCO,TX,75034
0001016178,CARV,CARVER BANCORP INC,6035,"Savings Institution, Federally Chartered",NEW YORK,NY,10027
0001763925,CJAX,CoJax Oil & Gas Corp,1311,Crude Petroleum & Natural Gas,ARLINGTON,VA,22201
0000936801,FEOVF,OCEANIC IRON ORE CORP,6199,Finance Services,VANCOUVER,A1,V7X 1
0001771755,SWISF,Sekur Private Data Ltd.,4822,Telegraph & Other Message Communications,VANCOUVER,A1,V6E 0
0001565228,VISL,"Vislink Technologies, Inc.",3669,"Communications Equipment, NEC",MT. OLIVE,NJ,07828
0001737270,NEXCF,Nextech3D.AI Corp.,7371,Services-Computer Programming Services,TORONTO,A6,M5J 2
0001420108,GLUC,"Glucose Health, Inc.",2833,Medicinal Chemicals & Botanical Products,BENTONVILLE,AR,72712
0001996210,BLMH,"BLUM HOLDINGS, INC.",5900,Retail-Miscellaneous Retail,SANTA ANA,CA,92705
0001539680,HMMR,HAMMER TECHNOLOGY HOLDINGS CORP.,4899,"Communications Services, NEC",SARASOTA,FL,34240
0001092570,FULO,FULLNET COMMUNICATIONS INC,4813,Telephone Communications (No Radiotelephone),OKLAHOMA CITY,OK,73102
0001119643,NPHC,NUTRA PHARMA CORP,2833,Medicinal Chemicals & Botanical Products,CORAL SPRINGS,FL,33071
0001574676,NGHI,"Galenfeha, Inc.",8711,Services-Engineering Services,TALLAHASSEE,FL,32308
0001777765,VQSSF,VIQ Solutions Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",MISSISSAUGA,A6,L4V 1
0000727346,GBCS,"SELECTIS HEALTH, INC.",6798,Real Estate Investment Trusts,GREENWOOD VILLAGE,CO,80111
0001468978,SITS,"SOUTHERN ITS INTERNATIONAL, INC.",7372,Services-Prepackaged Software,PALM DESERT,CA,92211
0001138867,EESH,"EESTech, Inc.",4941,Water Supply,BRISBANE,C3,4000
0001397795,BRRN,Bryn Inc.,8741,Services-Management Services,CORAL GABLES,FL,33143
0000924095,MVCO,"Metavesco, Inc.",6199,Finance Services,NORFOLK,VA,23510
0001508786,SLTN,"SILVERTON ENERGY, INC.",3021,Rubber & Plastics Footwear,DALLAS,TX,75252
0001545224,SILEF,Silver Elephant Mining Corp.,1000,Metal Mining,VANCOUVER,A1,V6C 1
